ticker,company_role,event_type,direction,confidence,materiality,novelty,source_type,published_date,source_url,event_cluster_id,human_review_required,score_deltas,raw_text
HALO,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT03446040,16112611deb2,False,"{'asset_quality': -0.271788125, 'seller_willingness': 0.1261435}",HALO Phase 1 Phase 2 trial discontinued terminated withdrawn An Investigational Immunotherapy Study of BMS-986258 Alone and in Combination With Nivolumab in Participants With Solid Cancers That Are Ad
ROIV,target,clinical_negative_ph3,negative,0.969,1.0,0.7,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT05623345,88a59cf1fb4c,True,"{'asset_quality': -0.2875, 'seller_willingness': 0.137287}",ROIV Phase 2 Phase 3 trial discontinued terminated withdrawn Psoriatic Arthritis Study of Izokibep NCT05623345
ROIV,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT05384249,116be55089df,False,"{'asset_quality': -0.28537753125000004, 'seller_willingness': 0.1261435}","ROIV Phase 2 trial discontinued terminated withdrawn Phase 2b Pivotal Study of Izokibep in Non-infectious, Intermediate-, Posterior- or Pan-uveitis NCT05384249"
ROIV,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT04795141,116be55089df,False,"{'asset_quality': -0.271788125, 'seller_willingness': 0.1261435}",ROIV Phase 2 trial discontinued terminated withdrawn ABY-035 in the Treatment of Subjects With Ankylosing Spondylitis NCT04795141
ROIV,target,clinical_negative_ph3,negative,0.969,1.0,0.7,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT05905783,88a59cf1fb4c,True,"{'asset_quality': -0.2875, 'seller_willingness': 0.137287}",ROIV Phase 3 trial discontinued terminated withdrawn Hidradenitis Suppurativa Study of Izokibep NCT05905783
RPTX,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT04972110,8ba050aae2f7,False,"{'asset_quality': -0.271788125, 'seller_willingness': 0.1261435}",RPTX Phase 1 Phase 2 trial discontinued terminated withdrawn Study of RP-3500 (Camonsertib) With Niraparib or Olaparib in Advanced Solid Tumors NCT04972110
RPTX,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT03337698,8ba050aae2f7,False,"{'asset_quality': -0.271788125, 'seller_willingness': 0.1261435}",RPTX Phase 1 Phase 2 trial discontinued terminated withdrawn A Study Of Multiple Immunotherapy-Based Treatment Combinations In Participants With Metastatic Non-Small Cell Lung Cancer (Morpheus- Non-Sm
CRNX,target,clinical_negative_ph3,negative,0.969,1.0,0.7,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT05192382,a438b757b1c7,True,"{'asset_quality': -0.37374999999999997, 'seller_willingness': 0.0823722}",CRNX Phase 3 trial discontinued terminated withdrawn A Study to Evaluate the Safety and Efficacy of Paltusotine for the Treatment of Acromegaly (PATHFNDR-2) NCT05192382
CRNX,target,clinical_negative_ph3,negative,0.969,1.0,0.7,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT04837040,a438b757b1c7,True,"{'asset_quality': -0.37374999999999997, 'seller_willingness': 0.0823722}",CRNX Phase 3 trial discontinued terminated withdrawn A Study to Evaluate the Safety and Efficacy of Paltusotine for the Treatment of Acromegaly NCT04837040
RCUS,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT07134556,97fcd6e183f9,False,"{'asset_quality': -0.3533245625, 'seller_willingness': 0.0756861}","RCUS Phase 2 trial discontinued terminated withdrawn Phase II Trial Evaluating the Safety and Efficacy of the Combination of Zimberelimab, Domvanalimab and Sacituzumab Govitecan as 1L Therapy for PD-L"
RCUS,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT07283848,97fcd6e183f9,False,"{'asset_quality': -0.271788125, 'seller_willingness': 0.1261435}",RCUS Phase 2 trial discontinued terminated withdrawn Zimberelimab + Domvanalimab in Gastroesophageal Adenocarcinoma NCT07283848
MGNX,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT03729596,c82c200b35ad,False,"{'asset_quality': -0.271788125, 'seller_willingness': 0.1261435}",MGNX Phase 1 Phase 2 trial discontinued terminated withdrawn MGC018 With or Without MGA012 in Advanced Solid Tumors NCT03729596
MGNX,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT05551117,c82c200b35ad,False,"{'asset_quality': -0.271788125, 'seller_willingness': 0.1261435}",MGNX Phase 2 trial discontinued terminated withdrawn A Study of Vobramitamab Duocarmazine in Participants With Metastatic Castration Resistant Prostate Cancer and Other Solid Tumors NCT05551117
MGNX,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT00870818,a0f72c1ce2e7,False,"{'asset_quality': -0.25785874999999997, 'seller_willingness': 0.11499999999999999}",MGNX NA trial discontinued terminated withdrawn Protege Extension Trial - Long Term Follow Up Trial for Subjects Who Completed the Protege Study (CP-MGA031-01) NCT00870818
